,City Name,State Name,Latitude,Longitude,Facility ID,Facility Name,Emission,Gas Code,Gas Name,Year
74061,Rockford,Illinois,42.2383,-89.1014,1000823,Rockford Energy Center Ii,7.2,CH4,Methane,2011
74062,Cedar Rapids,Iowa,41.96867,-91.66646,1002632,Ingredion Incorporated,69.434,N2O,Nitrous Oxide,2012
74063,Silsbee,Texas,30.3985,-94.2296,1004829,South Hampton Resources Inc,38.442,N2O,Nitrous Oxide,2012
74064,Brownsville,Texas,25.9131,-97.5214,1005210,Silas Ray Power Plant,27.714000000000002,N2O,Nitrous Oxide,2012
74065,Newcastle,Wyoming,43.851259999999996,-104.21504,1004459,Wyoming Refining Company,432.398,N2O,Nitrous Oxide,2014
74066,Endicott,New York,42.10498,-76.04715,1002165,Huron Real Estate Associates,23.541999999999998,N2O,Nitrous Oxide,2012
74067,Orrington,Maine,44.738333000000004,-68.82583299999999,1000047,Penobscot Energy Recovery Co.,96686.2,CO2,Carbon Dioxide,2010
74068,New Haven,Connecticut,41.30291,-72.932742,1004800,Yale University - School Of Medicine,49.766000000000005,N2O,Nitrous Oxide,2010
74069,New Haven,Connecticut,41.30291,-72.932742,1004800,Yale University - School Of Medicine,82760.8,CO2,Carbon Dioxide,2010
74070,Flat Rock,Michigan,42.102470000000004,-83.24356,1001722,Ford Motor Company - Flat Rock Assembly Plant,22.425,CH4,Methane,2010
74071,Cairo,Illinois,37.01433,-89.17734,1005019,Bunge North America Inc,26.522,N2O,Nitrous Oxide,2017
74072,St. Louis,Missouri,38.65972,-90.19248,1005077,Mallinckrodt,29027.7,CO2,Carbon Dioxide,2019
74073,Manning,Iowa,41.920794,-95.070791,1002070,Ag Processing Inc A Coop-Manning,11.026,N2O,Nitrous Oxide,2014
74074,Grand Tower,Illinois,37.6578,-89.5119,1001515,Grand Tower Energy Center  Llc,102.0,CH4,Methane,2013
74075,Tonopah,Arizona,33.4759,-113.1133,1000100,New Harquahala Generating Company  Llc,357.898,N2O,Nitrous Oxide,2010
74076,Ada,Oklahoma,34.767540000000004,-96.69651999999999,1002204,Holcim Incorporated,807.58,N2O,Nitrous Oxide,2015
74077,Fullerton,California,33.85964,-117.89692,1002185,Kimberly Clark Worldwide Incorporated,33.972,N2O,Nitrous Oxide,2016
74078,Fullerton,California,33.85964,-117.89692,1002185,Kimberly Clark Worldwide Incorporated,28.5,CH4,Methane,2016
74079,Oxnard,California,34.20915,-119.14208,1002152,Procter & Gamble Paper Products,315364.0,CO2,Carbon Dioxide,2018
74080,Cleveland,Ohio,41.50897,-81.68229000000001,1002202,Cleveland Thermal  Llc,387.0,CH4,Methane,2015
74081,Livingston,California,37.389912,-120.66745,1004262,Sensient Natural Ingredients Llc,21.456,N2O,Nitrous Oxide,2010
74082,Livingston,California,37.389912,-120.66745,1004262,Sensient Natural Ingredients Llc,18.0,CH4,Methane,2010
74083,Kansas City,Missouri,39.112142,-94.579614,1002452,Vicinity Energy Kansas City,78.0,CH4,Methane,2019
74084,Perryton,Texas,36.0853,-101.0524,1002663,Spearman Compressor Station,30449.193,CO2,Carbon Dioxide,2014
74085,Niagara Falls,New York,43.12195,-79.04451800000001,1003775,Globe Metallurgical Inc,881.0,CH4,Methane,2018
74086,Hawesville,Kentucky,37.9628,-86.7917,1001599,Coleman,3306017.0,CO2,Carbon Dioxide,2012
74087,Calvert City,Kentucky,37.05648,-88.35108000000001,1002969,Cc Metals & Alloys  Llc,2.682,N2O,Nitrous Oxide,2011
74088,Westbrook,Maine,43.686198,-70.347403,1005123,S D Warren Co,493874.0,BIOCO2,Biogenic CO2,2013
74089,New Bern,North Carolina,35.1285,-77.17,1007732,Craven County Wood Energy,506093.0,BIOCO2,Biogenic CO2,2012
74090,Rockport,Indiana,37.9849,-87.0259,1000214,Ak Steel Corporation,149806.4,CO2,Carbon Dioxide,2010
74091,Columbus,Ohio,40.103056,-82.99305600000001,1006111,Anheuser Busch Inc,5265.0,BIOCO2,Biogenic CO2,2016
74092,Columbus,Ohio,40.103056,-82.99305600000001,1006111,Anheuser Busch Inc,35411.3,CO2,Carbon Dioxide,2016
74093,Independence,Ohio,41.381640000000004,-81.62357,1005326,Digeronimo Aggregates Llc (1318270383),164.19799999999998,N2O,Nitrous Oxide,2016
74094,Albuquerque,New Mexico,35.17237,-106.59347,1004845,American Gypsum Company,16.5,CH4,Methane,2012
74095,Greensboro,North Carolina,36.07565,-79.96503,1010033,Qorvo,55062.0,SF6,Sulfur Hexafluoride,2013
74096,Teague,Texas,31.5399,-96.225,1005405,Xto - Kindon Station,10.43,N2O,Nitrous Oxide,2015
